SA3	Region	Median Price	12M Growth (%)	Rent Change (%)	Yield (%)	Buy Affordability	Rent Affordability	10Y Growth (PA)	Latitude	Longitude
The Hills District	Moreton Bay - South	$805,350	26.13	11	4.74	5.12	24.27	10.19230769	-27.39056681	152.9685448
The Hills District	Moreton Bay - South	$995,000	13.51	6	3.48	6.96	24.27	10.19230769	-27.39056681	152.9685448
Bald Hills - Everton Park	Brisbane - North	$1,118,070	15.46	7	3.31	8.86	34.69	10.93457944	-27.39941516	152.9866633
Bald Hills - Everton Park	Brisbane - North	$714,000	18.17	8	4.83	5.29	25.56	10.93457944	-27.39941516	152.9866633
Holland Park - Yeronga	Brisbane - South	$1,150,000	13.58	4	3.21	7.89	25.37	11.61315583	-27.50638103	153.0233412
Holland Park - Yeronga	Brisbane - South	$715,850	23.85	9	4.69	4.57	21.45	11.61315583	-27.50638103	153.0233412
Ipswich Hinterland	Ipswich	$686,800	23.27	10	4.30	6.57	28.27	11.87096774	-27.48415181	152.6524928
Mackay	Mackay - Isaac - Whitsunday	$625,000	18.48	16	4.95	3.95	19.58	3.523573201	-21.09564117	149.0898419
Rockhampton	Central Queensland	$879,000	21.28	8	4.14	9.71	47.55	5.85106383	-23.02398617	150.7571225
Noosa Hinterland	Sunshine Coast	$1,264,973	0.00	6	3.21	12.59	47.74	14.74226804	-26.39156261	152.797562
Granite Belt	Darling Downs - Maranoa	$399,000	16.50	7	5.09	3.71	18.88	7.777777778	-27.79389663	151.757291
Innisfail - Cassowary Coast	Cairns	$575,000	7.27	12	5.42	4.65	25.17	5.884615385	-17.87588141	145.9568549
Ipswich Hinterland	Ipswich	$699,000	23.27	10	4.48	6.34	33.60	11.87096774	-27.45633841	152.6597759
The Gap - Enoggera	Brisbane - West	$1,119,960	20.63	8	3.47	8.05	27.89	10.68518519	-27.40316776	152.9279309
The Gap - Enoggera	Brisbane - West	$773,800	22.71	8	3.38	5.74	19.37	10.68518519	-27.40316776	152.9279309
The Hills District	Moreton Bay - South	$795,600	26.13	11	4.85	5.26	25.51	10.19230769	-27.39177352	152.9237225
The Hills District	Moreton Bay - South	$979,700	13.51	6	3.43	6.95	28.18	10.19230769	-27.39177352	152.9237225
Kenmore - Brookfield - Moggill	Brisbane - West	$2,100,000	13.04	7	2.45	8.19	20.08	12.4	-27.52888181	152.9622637
Mackay	Mackay - Isaac - Whitsunday	$565,000	18.48	16	5.69	6.97	46.91	3.523573201	-21.13070599	148.6132192
Innisfail - Cassowary Coast	Cairns	$460,750	7.27	12	4.84	5.73	27.70	5.884615385	-17.1846946	145.8978388
Sandgate	Brisbane - North	$749,900	27.08	10	4.90	5.76	28.27	11.43529412	-27.34155746	153.0325615
Sandgate	Brisbane - North	$801,214	15.32	9	4.00	7.31	34.58	11.43529412	-27.34155746	153.0325615
Jimboomba	Logan - Beaudesert	$773,064	15.69	8	3.84	6.90	26.52	10.15005359	-27.81281279	152.9479639
